gender,age,age_o,samerace,attractive_o,sincere_o,intelligence_o,funny_o,ambition_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,match,age_d,relative_attractive,relative_sincere,relative_intelligence,relative_funny,relative_ambition,relative_shared
0,21.0,27.0,0,6.0,8.0,8.0,8.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,9.0,7.0,7.0,6.0,5.0,0.14,2.0,4.0,7.0,6.0,0,6.0,0.9,1.8,1.4,1.05,0.9,0.75
0,21.0,23.0,0,7.0,8.0,9.0,8.0,9.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,8.0,0.61,2.0,4.0,7.0,6.0,1,2.0,1.05,1.2,1.6,1.05,0.9,1.2
0,21.0,24.0,0,8.0,7.0,9.0,6.0,9.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,7.0,6.0,6.0,0.21,2.0,4.0,6.0,6.0,1,3.0,0.75,1.2,1.4,1.05,0.9,0.9
0,21.0,25.0,0,7.0,7.0,8.0,8.0,7.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,4.0,9.0,7.0,4.0,6.0,4.0,0.25,2.0,4.0,6.0,5.0,0,4.0,0.6,1.8,1.4,0.6,0.9,0.6
0,21.0,30.0,0,3.0,6.0,7.0,5.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,4.0,6.0,7.0,0.34,2.0,4.0,6.0,5.0,0,9.0,1.05,1.2,1.4,0.6,0.9,1.05
0,21.0,28.0,0,7.0,7.0,8.0,8.0,8.0,9.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,8.0,0.28,2.0,4.0,7.0,7.0,1,7.0,1.05,1.2,1.6,1.35,1.2,1.2
0,21.0,24.0,0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,8.0,10.0,8.0,-0.36,2.0,4.0,6.0,6.0,0,3.0,0.75,1.2,1.2,1.2,1.5,1.2
0,24.0,27.0,1,8.0,7.0,6.0,9.0,7.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,7.0,8.0,4.0,6.0,3.0,0.29,5.0,3.0,6.0,4.0,0,3.0,2.25,0.35,2.0,0.8,0.0,0.15
0,24.0,22.0,1,7.0,6.0,10.0,6.0,6.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,8.0,5.0,6.0,6.0,9.0,6.0,0.18,5.0,3.0,7.0,3.0,0,2.0,3.6,0.25,1.5,1.2,0.0,0.3
0,24.0,22.0,0,10.0,10.0,10.0,10.0,10.0,10.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,8.0,9.0,6.0,3.0,4.0,0.1,5.0,3.0,6.0,7.0,0,2.0,2.25,0.4,2.25,1.2,0.0,0.2
